scenario,run_id,seed,target_icao,ghost_icao,rows,sequence_rows,positive_rows,positive_sequences,detected_positive_rows,detected_positive_sequences,any_detection
normal,0,100,SIM0000,GHOST000,3000,2500,0,0,0,0,False
normal,1,101,SIM0000,GHOST001,3000,2500,0,0,0,0,False
normal,2,102,SIM0000,GHOST002,3000,2500,0,0,0,0,False
normal,3,103,SIM0000,GHOST003,3000,2500,0,0,0,0,False
normal,4,104,SIM0000,GHOST004,3000,2500,0,0,0,0,False
teleportation,5,105,SIM0000,GHOST005,3000,2498,33,50,0,0,False
teleportation,6,106,SIM0000,GHOST006,3000,2498,33,50,0,0,False
teleportation,7,107,SIM0000,GHOST007,3000,2498,33,50,23,23,True
teleportation,8,108,SIM0000,GHOST008,3000,2498,33,50,25,25,True
teleportation,9,109,SIM0000,GHOST009,3000,2498,33,50,23,23,True
gps_spoofing,10,110,SIM0000,GHOST010,3000,2491,33,43,18,18,True
gps_spoofing,11,111,SIM0000,GHOST011,3000,2491,33,43,19,20,True
gps_spoofing,12,112,SIM0000,GHOST012,3000,2491,33,43,19,20,True
gps_spoofing,13,113,SIM0000,GHOST013,3000,2491,33,43,24,29,True
gps_spoofing,14,114,SIM0000,GHOST014,3000,2491,33,43,18,18,True
ghost_aircraft,15,115,SIM0000,GHOST015,3009,2500,9,0,8,0,True
ghost_aircraft,16,116,SIM0000,GHOST016,3009,2500,9,0,8,0,True
ghost_aircraft,17,117,SIM0000,GHOST017,3009,2500,9,0,8,0,True
ghost_aircraft,18,118,SIM0000,GHOST018,3009,2500,9,0,8,0,True
ghost_aircraft,19,119,SIM0000,GHOST019,3009,2500,9,0,8,0,True
